latitude	longitude	depth	time	chl	fe	no3	nppv	o2	ph	phyc	po4	si	spco2	query_id
4.75	73.5	5.140361	2010-04-01	0.083333574	0.0009117776	0.0048988997	1.5541462	198.4788	8.031665	1.3479601	0.00011991718	2.3578975	38.934967	TARA_043_d5
1.0	71.75	5.140361	2010-04-01	0.09311344	0.00012806673	0.0012400852	2.5593672	199.55872	8.023346	1.207156	0.008080823	1.586065	39.952904	TARA_045_d5
-0.75	73.25	5.140361	2010-04-01	0.08719126	0.00021852335	0.0009786162	2.1141727	198.0445	8.024948	1.1916915	0.0014427614	1.5108837	39.913998	TARA_046_d5
-2.0	72.25	5.140361	2010-05-01	0.084254205	0.00028135948	0.0009278212	1.8290607	198.63976	8.027286	1.2705762	0.0031296473	1.5468724	39.869434	TARA_047_d5
-2.0	72.25	53.85064	2010-05-01	0.23669024	3.5705114e-05	0.88834953	8.460686	206.37738	8.030269	1.1164638	0.1613985	1.829795	39.869434	TARA_047_d55
-9.5	66.25	5.140361	2010-05-01	0.09512072	0.00018318754	0.0013456496	2.3464363	200.84709	8.046287	1.1496931	0.011894524	1.6758792	37.521458	TARA_048_d5
-16.75	59.5	5.140361	2010-05-01	0.07909201	0.0005189481	0.00036603736	1.2820812	203.03029	8.060908	1.2140853	0.0036586472	1.916891	36.15871	TARA_049_d5
-21.5	56.75	120.0	2010-05-01	0.31672955	0.00014421085	0.6237556	2.4721653	214.62294	8.086568	0.8801721	0.08140921	1.7514114	36.323208	TARA_050_d120
-21.5	56.75	5.140361	2010-05-01	0.06981151	0.00038495057	0.0003523388	0.9859402	205.49832	8.064036	1.1148612	0.0024445194	1.8777494	36.323208	TARA_050_d5
-21.5	54.25	5.140361	2010-05-01	0.07013303	0.00047432727	0.00039279813	1.0497861	205.21141	8.059911	1.1101956	0.002637399	1.9740179	36.832584	TARA_051_d5
-21.5	54.25	77.61116	2010-05-01	0.04853271	0.0001367706	0.000117244555	0.33170775	219.45099	8.081951	0.548083	0.022433808	1.8788067	36.832584	TARA_051_d80
-21.5	54.25	86.92943	2010-05-01	0.056726217	9.653657e-05	0.00023064666	0.38583514	219.71129	8.086821	0.54919857	0.025048861	1.8400205	36.832584	TARA_051_d85
-17.0	53.5	5.140361	2010-06-01	0.06628109	0.00025866556	0.00043987075	1.0388739	204.97017	8.072232	0.9700689	0.0055363867	1.9979763	35.047607	TARA_052_d5
-17.0	53.5	69.02168	2010-06-01	0.06905983	0.00021335437	0.00011356006	0.89123577	211.968	8.0597	0.68615043	0.022598825	1.9085723	35.047607	TARA_052_d70
-17.0	53.5	77.61116	2010-06-01	0.08584851	0.00013176288	0.000509756	1.0931076	215.91452	8.064568	0.6784524	0.031712055	1.9332813	35.047607	TARA_052_d75
-13.0	47.0	5.140361	2010-06-01	0.07380616	0.00072797044	0.0010006663	1.4843713	203.32985	8.052151	1.0747764	0.0047082272	2.0250142	37.19868	TARA_053_d5
-12.75	45.25	5.140361	2010-06-01	0.07454243	0.000549529	0.0009868231	1.4538877	203.80472	8.056622	1.0490094	0.006492062	1.9396193	36.741203	TARA_054_d5
-15.25	43.25	1045.854	2010-07-01	0.0027950837	0.00068141165	36.1293	0.0	95.87558	7.7494802	0.0128108	2.6333313	80.09389	35.47319	TARA_056_d1000
-15.25	43.25	5.140361	2010-07-01	0.10617014	0.00030576103	0.0015028073	2.8301642	207.4292	8.0715475	1.03364	0.019248696	1.8743142	35.47319	TARA_056_d5
