local_identifier	row_number	parameter	description	method	pi
PANGAEA.875569_103	103	Bacteriochlorophyll a	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_104	104	Divinyl chlorophyll b	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_105	105	Divinyl chlorophyll b	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_106	106	Divinyl chlorophyll b	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_107	107	Divinyl chlorophyll b	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_108	108	Divinyl chlorophyll b	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_109	109	Chlorophyll b	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_110	110	Chlorophyll b	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_111	111	Chlorophyll b	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_112	112	Chlorophyll b	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_113	113	Chlorophyll b	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_114	114	Chlorophyll b plus divinyl chlorophyll b	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_115	115	Chlorophyll b plus divinyl chlorophyll b	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_116	116	Chlorophyll b plus divinyl chlorophyll b	median value (50th percentile, second quartile, Q2) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_117	117	Chlorophyll b plus divinyl chlorophyll b	upper quartile value (75th percentile, third quartile, Q3) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_118	118	Chlorophyll b plus divinyl chlorophyll b	maximum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_119	119	Divinyl chlorophyll a	minimum value in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
PANGAEA.875569_120	120	Divinyl chlorophyll a	lower quartile value (25th percentile, first quartile, Q1) in the selected environmental feature around the sampling date and location	calculated from measurements on water samples	Guidi
