sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_barcode_num	tara_station
ERS327857	SAMEA2189670	ERR315677	ERX288826	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315686	ERX288836	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315798	ERX288959	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315800	ERX288950	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315801	ERX288954	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315802	ERX288947	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315805	ERX288962	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315812	ERX288956	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315814	ERX288949	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315815	ERX288969	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315817	ERX288964	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315820	ERX288975	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315821	ERX288965	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315822	ERX288973	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315824	ERX288966	PRJEB4352	TARA_A200000091	TARA_007
ERS327857	SAMEA2189670	ERR315825	ERX288958	PRJEB4352	TARA_A200000091	TARA_007
ERS327858	SAMEA2189671	ERR315678	ERX288842	PRJEB4352	TARA_A200000167	TARA_007
ERS327858	SAMEA2189671	ERR315691	ERX288823	PRJEB4352	TARA_A200000167	TARA_007
ERS327858	SAMEA2189671	ERR315823	ERX288961	PRJEB4352	TARA_A200000167	TARA_007
ERS327859	SAMEA2189672	ERR315674	ERX288834	PRJEB4352	TARA_A200000146	TARA_007
ERS327859	SAMEA2189672	ERR315688	ERX288840	PRJEB4352	TARA_A200000146	TARA_007
ERS327859	SAMEA2189672	ERR315803	ERX288951	PRJEB4352	TARA_A200000146	TARA_007
ERS327859	SAMEA2189672	ERR315811	ERX288968	PRJEB4352	TARA_A200000146	TARA_007
ERS477973	SAMEA2611382	ERR538176	ERX503379	PRJEB4352	TARA_A200000102	TARA_007
ERS477937	SAMEA2591063	ERR538190	ERX503393	PRJEB4352	TARA_A200000110	TARA_007
ERS477943	SAMEA2611380	ERR538183	ERX503375	PRJEB4352	TARA_A200000139	TARA_007
ERS477961	SAMEA2591082	ERR538187	ERX503391	PRJEB4352	TARA_A200000148	TARA_007
ERS477965	SAMEA2611378	ERR538180	ERX503380	PRJEB4352	TARA_A200000170	TARA_007
ERS477961	SAMEA2591082	ERR538181	ERX503378	PRJEB4352	TARA_A200000148	TARA_007
ERS477956	SAMEA2591077	ERR538182	ERX503385	PRJEB4352	TARA_A200000158	TARA_007
ERS477931	SAMEA2591057	ERR164421	ERX140294	PRJEB1788	TARA_A200000113	TARA_007
ERS477931	SAMEA2591057	ERR315857	ERX289005	PRJEB1788	TARA_A200000113	TARA_007
ERS477953	SAMEA2591074	ERR164410	ERX140289	PRJEB1788	TARA_A200000159	TARA_007
ERS477953	SAMEA2591074	ERR164422	ERX140301	PRJEB1788	TARA_A200000159	TARA_007
ERS477953	SAMEA2591074	ERR315856	ERX289004	PRJEB1788	TARA_A200000159	TARA_007
ERS477931	SAMEA2591057	ERR164416	ERX140291	PRJEB1788	TARA_A200000113	TARA_007
ERS488098	SAMEA2619522	ERR4691727	ERX4612836	PRJEB4352	TARA_X000000886	TARA_008
ERS488083	SAMEA2730888	ERR4691729	ERX4612838	PRJEB4352	TARA_X000000838	TARA_008
ERS488071	SAMEA2619505	ERR4691730	ERX4612839	PRJEB4352	TARA_X000000796	TARA_008
ERS488073	SAMEA2619507	ERR4691731	ERX4612840	PRJEB4352	TARA_X000000798	TARA_008
ERS488079	SAMEA2730858	ERR4691733	ERX4612842	PRJEB4352	TARA_X000000834	TARA_008
ERS488108	SAMEA2730450	ERR4691728	ERX4612837	PRJEB4352	TARA_X000000925	TARA_008
ERS488104	SAMEA2730447	ERR4691732	ERX4612841	PRJEB4352	TARA_X000000921	TARA_008
ERS488153	SAMEA2619554	ERR1700894	ERX1771192	PRJEB4352	TARA_X000001043	TARA_009
ERS488122	SAMEA2619534	ERR868407	ERX948094	PRJEB4352	TARA_X000000954	TARA_009
ERS488139	SAMEA2656976	ERR1726557	ERX1796535	PRJEB4352	TARA_X000001010	TARA_009
ERS488134	SAMEA2657011	ERR1726662	ERX1796763	PRJEB4352	TARA_X000001006	TARA_009
ERS488134	SAMEA2657011	ERR1726681	ERX1796856	PRJEB4352	TARA_X000001006	TARA_009
ERS488139	SAMEA2656976	ERR1726839	ERX1796550	PRJEB4352	TARA_X000001010	TARA_009
ERS488150	SAMEA2619551	ERR868473	ERX948007	PRJEB4352	TARA_X000001040	TARA_009
ERS488147	SAMEA2619548	ERR594315	ERX552291	PRJEB1788	TARA_X000001036	TARA_009
ERS488147	SAMEA2619548	ERR594329	ERX552303	PRJEB1788	TARA_X000001036	TARA_009
ERS488119	SAMEA2619531	ERR594288	ERX552288	PRJEB1788	TARA_X000000950	TARA_009
ERS488119	SAMEA2619531	ERR594316	ERX552251	PRJEB1788	TARA_X000000950	TARA_009
ERS488119	SAMEA2619531	ERR594317	ERX552248	PRJEB1788	TARA_X000000950	TARA_009
ERS488209	SAMEA2730462	ERR4691735	ERX4612844	PRJEB4352	TARA_X000001172	TARA_010
ERS488230	SAMEA2619607	ERR4691734	ERX4612843	PRJEB4352	TARA_X000001235	TARA_010
