tara_barcode_num	sra_acc_num	sra_biosample_acc_num	sra_run_acc_num	sra_exp_acc_num	sra_study_acc_num	tara_station	latitude	longitude	depth	date_time	lat_dw	lon_dw	depth_dw	time_dw	dist_diff_km	depth_diff_m	time_diff_hr	fe_dw3d	po4_dw3d	no3_dw3d	sio2_dw3d	do2_dw3d	phytoplankton_diversity_shannon_index	phytoplankton	zooplankton	chla_dw3d	nppv_dw3d	irradiance_reflectance_waveband_3	irradiance_reflectance_waveband_7	diatom	coccolithophore	mixotrophic_dinoflagellate	picoeukaryote	picoprokaryote
TARA_A100001145	ERS488609	SAMEA2619850	ERR868348	ERX948114	PRJEB4352	TARA_032	23.391	37.254	80	2010-01-11	23.25	37.25	75.004997253418	2010-01-12T00:00:00Z	15.70137347373658	4.995002746582003	1	0.00105240719858556	0.3667738139629364	15.842680931091309	2.058067321777344	168.74806213378906	2.9670798778533936	0.5335307717323303	1.5384504795074463	0.11292575299739838	5.207126605455414e-7	0.03846724703907966	0.02252625674009323	0.10704927146434784	0.12065612524747849	0.14645995199680328	0.06116119027137756	0.07487072795629501
TARA_A100001147	ERS488596	SAMEA2656987	ERR1726568	ERX1796936	PRJEB4352	TARA_032	23.391	37.254	80	2010-01-11	23.25	37.25	75.004997253418	2010-01-12T00:00:00Z	15.70137347373658	4.995002746582003	1	0.00105240719858556	0.3667738139629364	15.842680931091309	2.058067321777344	168.74806213378906	2.9670798778533936	0.5335307717323303	1.5384504795074463	0.11292575299739838	5.207126605455414e-7	0.03846724703907966	0.02252625674009323	0.10704927146434784	0.12065612524747849	0.14645995199680328	0.06116119027137756	0.07487072795629501
TARA_A100001147	ERS488596	SAMEA2656987	ERR1726610	ERX1796641	PRJEB4352	TARA_032	23.391	37.254	80	2010-01-11	23.25	37.25	75.004997253418	2010-01-12T00:00:00Z	15.70137347373658	4.995002746582003	1	0.00105240719858556	0.3667738139629364	15.842680931091309	2.058067321777344	168.74806213378906	2.9670798778533936	0.5335307717323303	1.5384504795074463	0.11292575299739838	5.207126605455414e-7	0.03846724703907966	0.02252625674009323	0.10704927146434784	0.12065612524747849	0.14645995199680328	0.06116119027137756	0.07487072795629501
TARA_A100001518	ERS488613	SAMEA2619854	ERR594360	ERX552360	PRJEB4419	TARA_032	23.391	37.254	80	2010-01-11	23.25	37.25	75.004997253418	2010-01-12T00:00:00Z	15.70137347373658	4.995002746582003	1	0.00105240719858556	0.3667738139629364	15.842680931091309	2.058067321777344	168.74806213378906	2.9670798778533936	0.5335307717323303	1.5384504795074463	0.11292575299739838	5.207126605455414e-7	0.03846724703907966	0.02252625674009323	0.10704927146434784	0.12065612524747849	0.14645995199680328	0.06116119027137756	0.07487072795629501
TARA_A100001037	ERS488599	SAMEA2619840	ERR599097	ERX555931	PRJEB1787	TARA_032	23.391	37.254	80	2010-01-11	23.25	37.25	75.004997253418	2010-01-12T00:00:00Z	15.70137347373658	4.995002746582003	1	0.00105240719858556	0.3667738139629364	15.842680931091309	2.058067321777344	168.74806213378906	2.9670798778533936	0.5335307717323303	1.5384504795074463	0.11292575299739838	5.207126605455414e-7	0.03846724703907966	0.02252625674009323	0.10704927146434784	0.12065612524747849	0.14645995199680328	0.06116119027137756	0.07487072795629501
TARA_A100001037	ERS488599	SAMEA2619840	ERR599061	ERX556055	PRJEB1787	TARA_032	23.391	37.254	80	2010-01-11	23.25	37.25	75.004997253418	2010-01-12T00:00:00Z	15.70137347373658	4.995002746582003	1	0.00105240719858556	0.3667738139629364	15.842680931091309	2.058067321777344	168.74806213378906	2.9670798778533936	0.5335307717323303	1.5384504795074463	0.11292575299739838	5.207126605455414e-7	0.03846724703907966	0.02252625674009323	0.10704927146434784	0.12065612524747849	0.14645995199680328	0.06116119027137756	0.07487072795629501
TARA_A100001246	ERS488644	SAMEA2657012	ERR1726711	ERX1796724	PRJEB4352	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
TARA_A100001246	ERS488644	SAMEA2657012	ERR1726926	ERX1796706	PRJEB4352	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
TARA_A100001245	ERS488640	SAMEA2657055	ERR1726918	ERX1796815	PRJEB4352	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
TARA_A100001245	ERS488640	SAMEA2657055	ERR1726902	ERX1796622	PRJEB4352	TARA_033	22.057	38.218	5	2010-01-13	22.25	38.25	5	2010-01-12T00:00:00Z	21.73650663155409	0	1	0.00105248030740767	0.13320553302764893	11.84092903137207	0.4837077856063843	199.2026824951172	2.89334487915039	2.743891954421997	4.12937068939209	0.45259135961532593	8.373388595828146e-7	0.03811464831233024	0.02295191958546638	0.747164249420166	0.5596248507499695	0.6459267139434814	0.3107624351978302	0.39184197783470154
